K_fit,Nft_fit,Nft_fit_lo95,Nft_fit_hi95,b,b_lo95,b_hi95
41.99888022921008,817.1697582771521,815.4487531026568,818.7783659145904,2.0254186749146053,2.0217238122299515,2.029428455315145
42.40118131168212,833.1016897547597,831.3687595502215,834.7105092565848,2.0254186749146053,2.0217238122299515,2.029428455315145
42.80733597691813,849.34423776955,847.5931501884434,850.9565663887082,2.0254186749146053,2.0217238122299515,2.029428455315145
43.21738113781935,865.9034582497271,864.1263073040279,867.5291802221277,2.0254186749146053,2.0217238122299515,2.029428455315145
43.631354060870244,882.7855251927604,881.0108169010517,884.4122483080502,2.0254186749146053,2.0217238122299515,2.029428455315145
44.04929236952544,899.9967329673194,898.2191839989647,901.6238793971874,2.0254186749146053,2.0217238122299515,2.029428455315145
44.471234047629096,917.5434986600883,915.758006053155,919.1704676856874,2.0254186749146053,2.0217238122299515,2.029428455315145
44.89721744286697,935.4323644683334,933.639363587461,937.059967355716,2.0254186749146053,2.0217238122299515,2.029428455315145
45.327281270251696,953.6700001391217,951.861247327743,955.3114075296613,2.0254186749146053,2.0217238122299515,2.029428455315145
45.76146461564133,972.2632054560925,970.4389029514143,973.9183372987585,2.0254186749146053,2.0217238122299515,2.029428455315145
46.199806939291506,991.218912774707,989.3903610939979,992.8876806564573,2.0254186749146053,2.0217238122299515,2.029428455315145
46.642348079441916,1010.5441896069393,1008.708003703459,1012.229413318113,2.0254186749146053,2.0217238122299515,2.029428455315145
47.089128255936856,1030.2462412563482,1028.414459006059,1031.970226407953,2.0254186749146053,2.0217238122299515,2.029428455315145
47.540188073880564,1050.3324135045275,1048.505921027019,1052.095850164312,2.0254186749146053,2.0217238122299515,2.029428455315145
47.99556852732763,1070.8101953499354,1068.9906221370104,1072.571661753427,2.0254186749146053,2.0217238122299515,2.029428455315145
48.45531100300855,1091.6872218001133,1089.8751428329235,1093.4485656269128,2.0254186749146053,2.0217238122299515,2.029428455315145
48.91945728409135,1112.9712767183573,1111.167276618278,1114.7500227235234,2.0254186749146053,2.0217238122299515,2.029428455315145
49.388049553978725,1134.6702957258708,1132.8759224141133,1136.452416466571,2.0254186749146053,2.0217238122299515,2.029428455315145
49.861130400142066,1156.7923691605183,1154.9885099682917,1158.577277311759,2.0254186749146053,2.0217238122299515,2.029428455315145
50.33874281799183,1179.3457450932494,1177.5471388688393,1181.1328728364888,2.0254186749146053,2.0217238122299515,2.029428455315145
50.82093021478518,1202.3388324033406,1200.4973700125845,1204.135552321678,2.0254186749146053,2.0217238122299515,2.029428455315145
51.307736413571035,1225.7802039135915,1223.9270863767672,1227.594479078603,2.0254186749146053,2.0217238122299515,2.029428455315145
51.79920565717274,1249.6785995866414,1247.813542989188,1251.5070509961827,2.0254186749146053,2.0217238122299515,2.029428455315145
52.295382612209245,1274.0429297836163,1272.1601960939113,1275.903283103383,2.0254186749146053,2.0217238122299515,2.029428455315145
52.79631237315435,1298.882278586289,1296.963919840489,1300.7447889186979,2.0254186749146053,2.0217238122299515,2.029428455315145
53.30204046643524,1324.2059071840274,1322.2811414106523,1326.0735906456914,2.0254186749146053,2.0217238122299515,2.029428455315145
53.81261285457001,1350.0232573267654,1348.0804184783499,1351.893383768468,2.0254186749146053,2.0217238122299515,2.029428455315145
54.32807594034496,1376.343954845298,1374.4146377536356,1378.239230997235,2.0254186749146053,2.0217238122299515,2.029428455315145
54.848476571031824,1403.1778132402098,1401.2349534740495,1405.097228625958,2.0254186749146053,2.0217238122299515,2.029428455315145
55.37386204264546,1430.5348373407762,1428.558810643468,1432.4950686389195,2.0254186749146053,2.0217238122299515,2.029428455315145
55.90428010424223,1458.4252270351933,1456.406767235965,1460.4094788274929,2.0254186749146053,2.0217238122299515,2.029428455315145
56.43977896225976,1486.8593810735495,1484.820178671194,1488.8537625763124,2.0254186749146053,2.0217238122299515,2.029428455315145
56.98040728489791,1515.84790094492,1513.790887608107,1517.8420919453608,2.0254186749146053,2.0217238122299515,2.029428455315145
57.526214206542164,1545.4015948300741,1543.3194222593393,1547.3868874086943,2.0254186749146053,2.0217238122299515,2.029428455315145
58.077249332229,1575.531481631228,1573.4150266178513,1577.525261943334,2.0254186749146053,2.0217238122299515,2.029428455315145
58.633562742154226,1606.2487950803722,1604.109879733878,1608.2294527115805,2.0254186749146053,2.0217238122299515,2.029428455315145
59.1952049962245,1637.5649879276982,1635.3962998822417,1639.560304169494,2.0254186749146053,2.0217238122299515,2.029428455315145
59.76222713865227,1669.491736211674,1667.2691777572222,1671.530902538949,2.0254186749146053,2.0217238122299515,2.029428455315145
60.33468070259511,1702.0409436123903,1699.7981421002758,1704.0845406922742,2.0254186749146053,2.0217238122299515,2.029428455315145
60.91261771483897,1735.224745889758,1732.9638950687822,1737.2721597970567,2.0254186749146053,2.0217238122299515,2.029428455315145
